FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;37;;;
250727;0200;10;;;
250727;0300;6;;;
250727;0400;6;;;
250727;0500;42;;;
250727;0600;15;;;
250727;0700;8;;;
250727;0800;2;;;
250727;0900;16;;;
250727;1000;41;;;
250727;1100;13;;;
250727;1200;22;;;
250727;1300;10;;;
250727;1400;17;;;
250727;1500;14;;;
250727;1600;16;;;
250727;1700;22;;;
250727;1800;15;;;
250727;1900;27;;;
250727;2000;26;;;
250727;2100;19;;;
250727;2200;9;;;
250727;2300;7;;;
250728;0000;8;;;
250728;0100;7;;;
250728;0200;2;;;
250728;0300;2;;;
250728;0400;1;;;
250728;0500;1;;;
250728;0600;1;;;
250728;0700;1;;;
250728;0800;3;;;
250728;0900;4;;;
250728;1000;8;;;
250728;1100;9;;;
250728;1200;12;;;
250728;1300;12;;;
250728;1400;10;;;
250728;1500;14;;;
250728;1600;13;;;
250728;1700;12;;;
250728;1800;22;;;
250728;1900;16;;;
250728;2000;24;;;
250728;2100;24;;;
250728;2200;15;;;
250728;2300;11;;;
250729;0000;11;;;
250729;0100;6;;;
250729;0200;2;;;
250729;0300;3;;;
250729;0400;1;;;
250729;0500;1;;;
250729;0600;2;;;
250729;0700;3;;;
250729;0800;2;;;
250729;0900;3;;;
250729;1000;8;;;
250729;1100;26;;;
250729;1200;19;;;
250729;1300;20;;;
250729;1400;16;;;
250729;1500;18;;;
250729;1600;13;;;
250729;1700;19;;;
250729;1800;29;;;
250729;1900;44;;;
250729;2000;21;;;
250729;2100;19;;;
250729;2200;11;;;
250729;2300;6;;;
250730;0000;7;;;
250730;0100;7;;;
250730;0200;2;;;
250730;0300;52;;;
250730;0400;7;;;
250730;0500;3;;;
250730;0600;6;;;
250730;0700;5;;;
250730;0800;7;;;
250730;0900;9;;;
250730;1000;8;;;
250730;1100;7;;;
250730;1200;9;;;
250730;1300;21;;;
250730;1400;23;;;
250730;1500;16;;;
250730;1600;18;;;
250730;1700;18;;;
250730;1800;16;;;
250730;1900;19;;;
250730;2000;16;;;
250730;2100;18;;;
250730;2200;14;;;
250730;2300;14;;;
250731;0000;13;;;
250731;0100;8;;;
250731;0200;11;;;
250731;0300;7;;;
250731;0400;3;;;
250731;0500;2;;;
250731;0600;2;;;
250731;0700;2;;;
250731;0800;1;;;
250731;0900;6;;;
250731;1000;12;;;
250731;1100;16;;;
250731;1200;11;;;
250731;1300;17;;;
250731;1400;17;;;
250731;1500;14;;;
250731;1600;20;;;
250731;1700;20;;;
250731;1800;7;;;
250731;1900;10;;;
250731;2000;15;;;
250731;2100;12;;;
250731;2200;13;;;
250731;2300;12;;;
250801;0000;7;;;
250801;0100;6;;;
250801;0200;6;;;
250801;0300;3;;;
250801;0400;7;;;
250801;0500;5;;;
250801;0600;5;;;
250801;0700;5;;;
250801;0800;5;;;
250801;0900;5;;;
250801;1000;8;;;
250801;1100;10;;;
250801;1200;11;;;
250801;1300;25;;;
250801;1400;17;;;
250801;1500;24;;;
250801;1600;17;;;
250801;1700;25;;;
250801;1800;70;;;
250801;1900;119;;;
250801;2000;88;;;
250801;2100;52;;;
250801;2200;33;;;
250801;2300;12;;;
250802;0000;10;;;
250802;0100;18;;;
250802;0200;8;;;
250802;0300;5;;;
250802;0400;6;;;
250802;0500;7;;;
250802;0600;7;;;
250802;0700;17;;;
250802;0800;17;;;
250802;0900;32;;;
250802;1000;25;;;
250802;1100;29;;;
250802;1200;16;;;
250802;1300;44;;;
250802;1400;34;;;
250802;1500;26;;;
250802;1600;32;;;
250802;1700;61;;;
250802;1800;121;;;
250802;1900;33;;;
250802;2000;18;;;
250802;2100;16;;;
250802;2200;16;;;
250802;2300;17;;;
250803;0000;13;;;
250803;0100;11;;;
250803;0200;16;;;
250803;0300;4;;;
250803;0400;6;;;
250803;0500;7;;;
250803;0600;6;;;
250803;0700;9;;;
250803;0800;34;;;
250803;0900;27;;;
250803;1000;20;;;
250803;1100;17;;;
250803;1200;18;;;
250803;1300;18;;;
250803;1400;20;;;
250803;1500;21;;;
250803;1600;16;;;
250803;1700;33;;;
250803;1800;255;;;
250803;1900;335;;;
250803;2000;132;;;
250803;2100;242;;;
250803;2200;181;;;
250803;2300;206;;;
250804;0000;256;;;
250804;0100;88;;;
250804;0200;117;;;
250804;0300;39;;;
250804;0400;28;;;
250804;0500;11;;;
250804;0600;21;;;
250804;0700;91;;;
250804;0800;131;;;
250804;0900;173;;;
250804;1000;106;;;
250804;1100;82;;;
250804;1200;96;;;
250804;1300;33;;;
250804;1400;21;;;
250804;1500;28;;;
250804;1600;22;;;
250804;1700;22;;;
250804;1800;28;;;
250804;1900;20;;;
250804;2000;19;;;
250804;2100;12;;;
250804;2200;12;;;
250804;2300;13;;;
250805;0000;11;;;
250805;0100;8;;;
250805;0200;6;;;
250805;0300;1;;;
250805;0400;2;;;
250805;0500;3;;;
250805;0600;5;;;
250805;0700;7;;;
250805;0800;6;;;
250805;0900;15;;;
250805;1000;11;;;
250805;1100;15;;;
250805;1200;19;;;
250805;1300;26;;;
250805;1400;14;;;
