Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-26;01:00;26;;32.09;64.17;Bueno;137.11;Regular
2025-07-26;02:00;21;;32.09;64.17;Bueno;137.11;Regular
2025-07-26;03:00;5;;32.09;64.17;Bueno;137.11;Regular
2025-07-26;04:00;15;;32.09;64.17;Bueno;137.11;Regular
2025-07-26;05:00;13;;32.09;64.17;Bueno;137.11;Regular
2025-07-26;06:00;9;;32.09;64.17;Bueno;137.11;Regular
2025-07-26;07:00;8;;32.09;64.17;Bueno;137.11;Regular
2025-07-26;08:00;21;;32.09;64.17;Bueno;137.11;Regular
2025-07-26;09:00;20;;32.09;64.17;Bueno;137.11;Regular
2025-07-26;10:00;25;;32.09;64.17;Bueno;137.11;Regular
2025-07-26;11:00;28;;32.09;64.17;Bueno;137.11;Regular
2025-07-26;12:00;32;;32.09;64.17;Bueno;137.11;Regular
2025-07-26;13:00;7;;32.09;64.17;Bueno;137.11;Regular
2025-07-26;14:00;21;;32.09;64.17;Bueno;137.11;Regular
2025-07-26;15:00;20;;32.09;64.17;Bueno;137.11;Regular
2025-07-26;16:00;44;;32.09;64.17;Bueno;137.11;Regular
2025-07-26;17:00;55;;32.09;64.17;Bueno;137.11;Regular
2025-07-26;18:00;37;22.61;32.09;64.17;Bueno;137.11;Regular
2025-07-26;19:00;102;26.79;32.09;64.17;Bueno;137.11;Regular
2025-07-26;20:00;85;29.70;32.09;64.17;Bueno;137.11;Regular
2025-07-26;21:00;86;32.38;32.09;64.17;Bueno;137.11;Regular
2025-07-26;22:00;35;32.50;32.09;64.17;Bueno;137.11;Regular
2025-07-26;23:00;23;32.09;32.09;64.17;Bueno;137.11;Regular
2025-07-27;00:00;36;32.25;20.96;41.92;Bueno;112.89;Regular
2025-07-27;01:00;33;32.54;20.96;41.92;Bueno;112.89;Regular
2025-07-27;02:00;31;32.96;20.96;41.92;Bueno;112.89;Regular
2025-07-27;03:00;16;33.42;20.96;41.92;Bueno;112.89;Regular
2025-07-27;04:00;24;33.79;20.96;41.92;Bueno;112.89;Regular
2025-07-27;05:00;15;33.88;20.96;41.92;Bueno;112.89;Regular
2025-07-27;06:00;13;34.04;20.96;41.92;Bueno;112.89;Regular
2025-07-27;07:00;16;34.38;20.96;41.92;Bueno;112.89;Regular
2025-07-27;08:00;11;33.96;20.96;41.92;Bueno;112.89;Regular
2025-07-27;09:00;11;33.58;20.96;41.92;Bueno;112.89;Regular
2025-07-27;10:00;21;33.42;20.96;41.92;Bueno;112.89;Regular
2025-07-27;11:00;21;33.12;20.96;41.92;Bueno;112.89;Regular
2025-07-27;12:00;18;32.54;20.96;41.92;Bueno;112.89;Regular
2025-07-27;13:00;17;32.96;20.96;41.92;Bueno;112.89;Regular
2025-07-27;14:00;15;32.71;20.96;41.92;Bueno;112.89;Regular
2025-07-27;15:00;10;32.29;20.96;41.92;Bueno;112.89;Regular
2025-07-27;16:00;7;30.75;20.96;41.92;Bueno;112.89;Regular
2025-07-27;17:00;17;29.17;20.96;41.92;Bueno;112.89;Regular
2025-07-27;18:00;55;29.92;20.96;41.92;Bueno;112.89;Regular
2025-07-27;19:00;67;28.46;20.96;41.92;Bueno;112.89;Regular
2025-07-27;20:00;20;25.75;20.96;41.92;Bueno;112.89;Regular
2025-07-27;21:00;14;22.75;20.96;41.92;Bueno;112.89;Regular
2025-07-27;22:00;9;21.67;20.96;41.92;Bueno;112.89;Regular
2025-07-27;23:00;6;20.96;20.96;41.92;Bueno;112.89;Regular
2025-07-28;00:00;3;19.58;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;01:00;1;18.25;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;02:00;1;17.00;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;03:00;1;16.38;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;04:00;1;15.42;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;05:00;1;14.83;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;06:00;1;14.33;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;07:00;1;13.71;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;08:00;1;13.29;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;09:00;5;13.04;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;10:00;7;12.46;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;11:00;10;12.00;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;12:00;10;11.67;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;13:00;8;11.29;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;14:00;15;11.29;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;15:00;7;11.17;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;16:00;12;11.38;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;17:00;12;11.17;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;18:00;12;9.38;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;19:00;13;7.12;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;20:00;20;7.12;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;21:00;14;7.12;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;22:00;10;7.17;7.21;14.42;Bueno;48.06;Bueno
2025-07-28;23:00;7;7.21;7.21;14.42;Bueno;48.06;Bueno
2025-07-29;00:00;4;7.25;15.38;30.75;Bueno;100.81;Regular
2025-07-29;01:00;1;7.25;15.38;30.75;Bueno;100.81;Regular
2025-07-29;02:00;1;7.25;15.38;30.75;Bueno;100.81;Regular
2025-07-29;03:00;1;7.25;15.38;30.75;Bueno;100.81;Regular
2025-07-29;04:00;1;7.25;15.38;30.75;Bueno;100.81;Regular
2025-07-29;05:00;1;7.25;15.38;30.75;Bueno;100.81;Regular
2025-07-29;06:00;1;7.25;15.38;30.75;Bueno;100.81;Regular
2025-07-29;07:00;1;7.25;15.38;30.75;Bueno;100.81;Regular
2025-07-29;08:00;2;7.29;15.38;30.75;Bueno;100.81;Regular
2025-07-29;09:00;9;7.46;15.38;30.75;Bueno;100.81;Regular
2025-07-29;10:00;8;7.50;15.38;30.75;Bueno;100.81;Regular
2025-07-29;11:00;6;7.33;15.38;30.75;Bueno;100.81;Regular
2025-07-29;12:00;11;7.38;15.38;30.75;Bueno;100.81;Regular
2025-07-29;13:00;8;7.38;15.38;30.75;Bueno;100.81;Regular
2025-07-29;14:00;18;7.50;15.38;30.75;Bueno;100.81;Regular
2025-07-29;15:00;32;8.54;15.38;30.75;Bueno;100.81;Regular
2025-07-29;16:00;20;8.88;15.38;30.75;Bueno;100.81;Regular
2025-07-29;17:00;39;10.00;15.38;30.75;Bueno;100.81;Regular
2025-07-29;18:00;48;11.50;15.38;30.75;Bueno;100.81;Regular
2025-07-29;19:00;69;13.83;15.38;30.75;Bueno;100.81;Regular
2025-07-29;20:00;25;14.04;15.38;30.75;Bueno;100.81;Regular
2025-07-29;21:00;24;14.46;15.38;30.75;Bueno;100.81;Regular
2025-07-29;22:00;16;14.71;15.38;30.75;Bueno;100.81;Regular
2025-07-29;23:00;23;15.38;15.38;30.75;Bueno;100.81;Regular
2025-07-30;00:00;17;15.92;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;01:00;4;16.04;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;02:00;1;16.04;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;03:00;1;16.04;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;04:00;1;16.04;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;05:00;1;16.04;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;06:00;1;16.04;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;07:00;1;16.04;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;08:00;1;16.00;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;09:00;1;15.67;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;10:00;1;15.38;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;11:00;1;15.17;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;12:00;4;14.88;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;13:00;7;14.83;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;14:00;4;14.25;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;15:00;13;13.46;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;16:00;7;12.92;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;17:00;10;11.71;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;18:00;20;10.54;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;19:00;9;8.04;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;20:00;9;7.38;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;21:00;5;6.58;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;22:00;4;6.08;5.25;10.50;Bueno;35.00;Bueno
2025-07-30;23:00;3;5.25;5.25;10.50;Bueno;35.00;Bueno
2025-07-31;00:00;1;4.58;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;01:00;1;4.46;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;02:00;1;4.46;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;03:00;1;4.46;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;04:00;1;4.46;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;05:00;1;4.46;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;06:00;1;4.46;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;07:00;1;4.46;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;08:00;1;4.46;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;09:00;1;4.46;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;10:00;1;4.46;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;11:00;4;4.58;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;12:00;5;4.62;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;13:00;10;4.75;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;14:00;11;5.04;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;15:00;7;4.79;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;16:00;13;5.04;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;17:00;10;5.04;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;18:00;21;5.08;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;19:00;34;6.12;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;20:00;11;6.21;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;21:00;12;6.50;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;22:00;9;6.71;6.92;13.83;Bueno;46.11;Bueno
2025-07-31;23:00;8;6.92;6.92;13.83;Bueno;46.11;Bueno
2025-08-01;00:00;4;7.04;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;01:00;1;7.04;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;02:00;1;7.04;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;03:00;1;7.04;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;04:00;1;7.04;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;05:00;1;7.04;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;06:00;1;7.04;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;07:00;1;7.04;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;08:00;3;7.12;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;09:00;1;7.12;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;10:00;2;7.17;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;11:00;10;7.42;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;12:00;10;7.62;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;13:00;13;7.75;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;14:00;10;7.71;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;15:00;14;8.00;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;16:00;20;8.29;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;17:00;48;9.88;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;18:00;25;10.04;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;19:00;42;10.38;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;20:00;13;10.46;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;21:00;14;10.54;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;22:00;12;10.67;10.88;21.75;Bueno;72.50;Bueno
2025-08-01;23:00;13;10.88;10.88;21.75;Bueno;72.50;Bueno
2025-08-02;00:00;9;11.08;15.67;31.33;Bueno;101.44;Regular
2025-08-02;01:00;8;11.38;15.67;31.33;Bueno;101.44;Regular
2025-08-02;02:00;5;11.54;15.67;31.33;Bueno;101.44;Regular
2025-08-02;03:00;2;11.58;15.67;31.33;Bueno;101.44;Regular
2025-08-02;04:00;1;11.58;15.67;31.33;Bueno;101.44;Regular
2025-08-02;05:00;1;11.58;15.67;31.33;Bueno;101.44;Regular
2025-08-02;06:00;3;11.67;15.67;31.33;Bueno;101.44;Regular
2025-08-02;07:00;4;11.79;15.67;31.33;Bueno;101.44;Regular
2025-08-02;08:00;6;11.92;15.67;31.33;Bueno;101.44;Regular
2025-08-02;09:00;9;12.25;15.67;31.33;Bueno;101.44;Regular
2025-08-02;10:00;7;12.46;15.67;31.33;Bueno;101.44;Regular
2025-08-02;11:00;6;12.29;15.67;31.33;Bueno;101.44;Regular
2025-08-02;12:00;4;12.04;15.67;31.33;Bueno;101.44;Regular
2025-08-02;13:00;3;11.62;15.67;31.33;Bueno;101.44;Regular
2025-08-02;14:00;2;11.29;15.67;31.33;Bueno;101.44;Regular
2025-08-02;15:00;10;11.12;15.67;31.33;Bueno;101.44;Regular
2025-08-02;16:00;14;10.88;15.67;31.33;Bueno;101.44;Regular
2025-08-02;17:00;41;10.58;15.67;31.33;Bueno;101.44;Regular
2025-08-02;18:00;56;11.88;15.67;31.33;Bueno;101.44;Regular
2025-08-02;19:00;45;12.00;15.67;31.33;Bueno;101.44;Regular
2025-08-02;20:00;82;14.88;15.67;31.33;Bueno;101.44;Regular
2025-08-02;21:00;31;15.58;15.67;31.33;Bueno;101.44;Regular
2025-08-02;22:00;16;15.75;15.67;31.33;Bueno;101.44;Regular
2025-08-02;23:00;11;15.67;15.67;31.33;Bueno;101.44;Regular
2025-08-03;00:00;21;16.17;35.96;71.92;Bueno;145.57;Regular
2025-08-03;01:00;5;16.04;35.96;71.92;Bueno;145.57;Regular
2025-08-03;02:00;5;16.04;35.96;71.92;Bueno;145.57;Regular
2025-08-03;03:00;4;16.12;35.96;71.92;Bueno;145.57;Regular
2025-08-03;04:00;3;16.21;35.96;71.92;Bueno;145.57;Regular
2025-08-03;05:00;2;16.25;35.96;71.92;Bueno;145.57;Regular
2025-08-03;06:00;1;16.17;35.96;71.92;Bueno;145.57;Regular
2025-08-03;07:00;1;16.04;35.96;71.92;Bueno;145.57;Regular
2025-08-03;08:00;1;15.83;35.96;71.92;Bueno;145.57;Regular
2025-08-03;09:00;15;16.08;35.96;71.92;Bueno;145.57;Regular
2025-08-03;10:00;5;16.00;35.96;71.92;Bueno;145.57;Regular
2025-08-03;11:00;2;15.83;35.96;71.92;Bueno;145.57;Regular
2025-08-03;12:00;1;15.71;35.96;71.92;Bueno;145.57;Regular
2025-08-03;13:00;1;15.62;35.96;71.92;Bueno;145.57;Regular
2025-08-03;14:00;1;15.58;35.96;71.92;Bueno;145.57;Regular
2025-08-03;15:00;5;15.38;35.96;71.92;Bueno;145.57;Regular
2025-08-03;16:00;4;14.96;35.96;71.92;Bueno;145.57;Regular
2025-08-03;17:00;3;13.38;35.96;71.92;Bueno;145.57;Regular
2025-08-03;18:00;9;11.42;35.96;71.92;Bueno;145.57;Regular
2025-08-03;19:00;51;11.67;35.96;71.92;Bueno;145.57;Regular
2025-08-03;20:00;81;11.62;35.96;71.92;Bueno;145.57;Regular
2025-08-03;21:00;344;24.67;35.96;71.92;Bueno;145.57;Regular
2025-08-03;22:00;211;32.79;35.96;71.92;Bueno;145.57;Regular
2025-08-03;23:00;87;35.96;35.96;71.92;Bueno;145.57;Regular
2025-08-04;00:00;76;38.25;46.62;93.25;Bueno;169.00;Regular
2025-08-04;01:00;21;38.92;46.62;93.25;Bueno;169.00;Regular
2025-08-04;02:00;47;40.67;46.62;93.25;Bueno;169.00;Regular
2025-08-04;03:00;19;41.29;46.62;93.25;Bueno;169.00;Regular
2025-08-04;04:00;33;42.54;46.62;93.25;Bueno;169.00;Regular
2025-08-04;05:00;16;43.12;46.62;93.25;Bueno;169.00;Regular
2025-08-04;06:00;48;45.08;46.62;93.25;Bueno;169.00;Regular
2025-08-04;07:00;61;47.58;46.62;93.25;Bueno;169.00;Regular
2025-08-04;08:00;81;50.92;46.62;93.25;Bueno;169.00;Regular
2025-08-04;09:00;46;52.21;46.62;93.25;Bueno;169.00;Regular
2025-08-04;10:00;37;53.54;46.62;93.25;Bueno;169.00;Regular
2025-08-04;11:00;41;55.17;46.62;93.25;Bueno;169.00;Regular
2025-08-04;12:00;15;55.75;46.62;93.25;Bueno;169.00;Regular
2025-08-04;13:00;13;56.25;46.62;93.25;Bueno;169.00;Regular
2025-08-04;14:00;23;57.17;46.62;93.25;Bueno;169.00;Regular
2025-08-04;15:00;11;57.42;46.62;93.25;Bueno;169.00;Regular
2025-08-04;16:00;25;58.29;46.62;93.25;Bueno;169.00;Regular
2025-08-04;17:00;62;60.75;46.62;93.25;Bueno;169.00;Regular
2025-08-04;18:00;98;64.46;46.62;93.25;Bueno;169.00;Regular
2025-08-04;19:00;92;66.17;46.62;93.25;Bueno;169.00;Regular
2025-08-04;20:00;77;66.00;46.62;93.25;Bueno;169.00;Regular
2025-08-04;21:00;64;54.33;46.62;93.25;Bueno;169.00;Regular
2025-08-04;22:00;63;48.17;46.62;93.25;Bueno;169.00;Regular
2025-08-04;23:00;50;46.62;46.62;93.25;Bueno;169.00;Regular
2025-08-05;00:00;34;44.88;30.62;61.25;Bueno;133.92;Regular
2025-08-05;01:00;44;45.83;30.62;61.25;Bueno;133.92;Regular
2025-08-05;02:00;8;44.21;30.62;61.25;Bueno;133.92;Regular
2025-08-05;03:00;9;43.79;30.62;61.25;Bueno;133.92;Regular
2025-08-05;04:00;6;42.67;30.62;61.25;Bueno;133.92;Regular
2025-08-05;05:00;4;42.17;30.62;61.25;Bueno;133.92;Regular
2025-08-05;06:00;15;40.79;30.62;61.25;Bueno;133.92;Regular
2025-08-05;07:00;15;38.88;30.62;61.25;Bueno;133.92;Regular
2025-08-05;08:00;32;36.83;30.62;61.25;Bueno;133.92;Regular
2025-08-05;09:00;16;35.58;30.62;61.25;Bueno;133.92;Regular
2025-08-05;10:00;33;35.42;30.62;61.25;Bueno;133.92;Regular
2025-08-05;11:00;43;35.50;30.62;61.25;Bueno;133.92;Regular
2025-08-05;12:00;24;35.88;30.62;61.25;Bueno;133.92;Regular
2025-08-05;13:00;14;35.92;30.62;61.25;Bueno;133.92;Regular
2025-08-05;14:00;18;35.71;30.62;61.25;Bueno;133.92;Regular
2025-08-05;15:00;12;35.75;30.62;61.25;Bueno;133.92;Regular
2025-08-05;16:00;20;35.54;30.62;61.25;Bueno;133.92;Regular
2025-08-05;17:00;24;33.96;30.62;61.25;Bueno;133.92;Regular
2025-08-05;18:00;54;32.12;30.62;61.25;Bueno;133.92;Regular
2025-08-05;19:00;65;31.00;30.62;61.25;Bueno;133.92;Regular
2025-08-05;20:00;54;30.04;30.62;61.25;Bueno;133.92;Regular
2025-08-05;21:00;69;30.25;30.62;61.25;Bueno;133.92;Regular
2025-08-05;22:00;80;30.96;30.62;61.25;Bueno;133.92;Regular
2025-08-05;23:00;42;30.62;30.62;61.25;Bueno;133.92;Regular
2025-08-06;00:00;39;30.83;44.67;89.33;Bueno;164.69;Regular
2025-08-06;01:00;34;30.42;44.67;89.33;Bueno;164.69;Regular
2025-08-06;02:00;34;31.50;44.67;89.33;Bueno;164.69;Regular
2025-08-06;03:00;9;31.50;44.67;89.33;Bueno;164.69;Regular
2025-08-06;04:00;7;31.54;44.67;89.33;Bueno;164.69;Regular
2025-08-06;05:00;3;31.50;44.67;89.33;Bueno;164.69;Regular
2025-08-06;06:00;1;30.92;44.67;89.33;Bueno;164.69;Regular
2025-08-06;07:00;1;30.33;44.67;89.33;Bueno;164.69;Regular
2025-08-06;08:00;15;29.62;44.67;89.33;Bueno;164.69;Regular
2025-08-06;09:00;13;29.50;44.67;89.33;Bueno;164.69;Regular
2025-08-06;10:00;32;29.46;44.67;89.33;Bueno;164.69;Regular
2025-08-06;11:00;18;28.42;44.67;89.33;Bueno;164.69;Regular
2025-08-06;12:00;18;28.17;44.67;89.33;Bueno;164.69;Regular
2025-08-06;13:00;4;27.75;44.67;89.33;Bueno;164.69;Regular
2025-08-06;14:00;5;27.21;44.67;89.33;Bueno;164.69;Regular
2025-08-06;15:00;8;27.04;44.67;89.33;Bueno;164.69;Regular
2025-08-06;16:00;24;27.21;44.67;89.33;Bueno;164.69;Regular
2025-08-06;17:00;24;27.21;44.67;89.33;Bueno;164.69;Regular
2025-08-06;18:00;68;27.79;44.67;89.33;Bueno;164.69;Regular
2025-08-06;19:00;133;30.62;44.67;89.33;Bueno;164.69;Regular
2025-08-06;20:00;206;36.96;44.67;89.33;Bueno;164.69;Regular
2025-08-06;21:00;128;39.42;44.67;89.33;Bueno;164.69;Regular
2025-08-06;22:00;128;41.42;44.67;89.33;Bueno;164.69;Regular
2025-08-06;23:00;120;44.67;44.67;89.33;Bueno;164.69;Regular
2025-08-07;00:00;121;48.08;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;01:00;10;47.08;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;02:00;6;45.92;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;03:00;6;45.79;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;04:00;2;45.58;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;05:00;1;45.50;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;06:00;1;45.50;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;07:00;2;45.54;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;08:00;2;45.00;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;09:00;5;44.67;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;10:00;4;43.50;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;11:00;5;42.96;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;12:00;4;42.38;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;13:00;4;42.38;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;14:00;5;42.38;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;15:00;7;42.33;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;16:00;13;41.88;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;17:00;25;41.92;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;18:00;25;40.12;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;19:00;17;35.29;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;20:00;15;27.33;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;21:00;9;22.38;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;22:00;9;17.42;12.79;25.58;Bueno;85.28;Bueno
2025-08-07;23:00;9;12.79;12.79;25.58;Bueno;85.28;Bueno
2025-08-08;00:00;21;8.62;50.00;100.00;Regular;176.45;Regular
2025-08-08;01:00;21;9.08;50.00;100.00;Regular;176.45;Regular
2025-08-08;02:00;52;11.00;50.00;100.00;Regular;176.45;Regular
2025-08-08;03:00;19;11.54;50.00;100.00;Regular;176.45;Regular
2025-08-08;04:00;19;12.25;50.00;100.00;Regular;176.45;Regular
2025-08-08;05:00;10;12.62;50.00;100.00;Regular;176.45;Regular
2025-08-08;06:00;4;12.75;50.00;100.00;Regular;176.45;Regular
2025-08-08;07:00;5;12.88;50.00;100.00;Regular;176.45;Regular
2025-08-08;08:00;7;13.08;50.00;100.00;Regular;176.45;Regular
2025-08-08;09:00;7;13.17;50.00;100.00;Regular;176.45;Regular
2025-08-08;10:00;3;13.12;50.00;100.00;Regular;176.45;Regular
2025-08-08;11:00;4;13.08;50.00;100.00;Regular;176.45;Regular
2025-08-08;12:00;3;13.04;50.00;100.00;Regular;176.45;Regular
2025-08-08;13:00;6;13.12;50.00;100.00;Regular;176.45;Regular
2025-08-08;14:00;6;13.17;50.00;100.00;Regular;176.45;Regular
2025-08-08;15:00;8;13.21;50.00;100.00;Regular;176.45;Regular
2025-08-08;16:00;10;13.08;50.00;100.00;Regular;176.45;Regular
2025-08-08;17:00;21;12.92;50.00;100.00;Regular;176.45;Regular
2025-08-08;18:00;126;17.12;50.00;100.00;Regular;176.45;Regular
2025-08-08;19:00;126;21.67;50.00;100.00;Regular;176.45;Regular
2025-08-08;20:00;94;24.96;50.00;100.00;Regular;176.45;Regular
2025-08-08;21:00;167;31.54;50.00;100.00;Regular;176.45;Regular
2025-08-08;22:00;230;40.75;50.00;100.00;Regular;176.45;Regular
2025-08-08;23:00;231;50.00;50.00;100.00;Regular;176.45;Regular
2025-08-09;00:00;231;58.75;41.62;83.25;Bueno;158.00;Regular
2025-08-09;01:00;100;62.04;41.62;83.25;Bueno;158.00;Regular
2025-08-09;02:00;82;63.29;41.62;83.25;Bueno;158.00;Regular
2025-08-09;03:00;36;64.00;41.62;83.25;Bueno;158.00;Regular
2025-08-09;04:00;18;63.96;41.62;83.25;Bueno;158.00;Regular
2025-08-09;05:00;18;64.29;41.62;83.25;Bueno;158.00;Regular
2025-08-09;06:00;7;64.42;41.62;83.25;Bueno;158.00;Regular
2025-08-09;07:00;4;64.38;41.62;83.25;Bueno;158.00;Regular
2025-08-09;08:00;2;64.17;41.62;83.25;Bueno;158.00;Regular
2025-08-09;09:00;7;64.17;41.62;83.25;Bueno;158.00;Regular
2025-08-09;10:00;7;64.33;41.62;83.25;Bueno;158.00;Regular
2025-08-09;11:00;46;66.08;41.62;83.25;Bueno;158.00;Regular
2025-08-09;12:00;34;67.38;41.62;83.25;Bueno;158.00;Regular
2025-08-09;13:00;18;67.88;41.62;83.25;Bueno;158.00;Regular
2025-08-09;14:00;39;69.25;41.62;83.25;Bueno;158.00;Regular
2025-08-09;15:00;39;70.54;41.62;83.25;Bueno;158.00;Regular
2025-08-09;16:00;41;71.83;41.62;83.25;Bueno;158.00;Regular
2025-08-09;17:00;42;72.71;41.62;83.25;Bueno;158.00;Regular
2025-08-09;18:00;38;69.04;41.62;83.25;Bueno;158.00;Regular
2025-08-09;19:00;63;66.42;41.62;83.25;Bueno;158.00;Regular
2025-08-09;20:00;63;65.12;41.62;83.25;Bueno;158.00;Regular
2025-08-09;21:00;25;59.21;41.62;83.25;Bueno;158.00;Regular
2025-08-09;22:00;23;50.58;41.62;83.25;Bueno;158.00;Regular
2025-08-09;23:00;16;41.62;41.62;83.25;Bueno;158.00;Regular
2025-08-10;00:00;18;32.75;11.25;22.50;Bueno;75.00;Bueno
2025-08-10;01:00;18;29.33;11.25;22.50;Bueno;75.00;Bueno
2025-08-10;02:00;9;26.29;11.25;22.50;Bueno;75.00;Bueno
2025-08-10;03:00;12;25.29;11.25;22.50;Bueno;75.00;Bueno
2025-08-10;04:00;8;24.88;11.25;22.50;Bueno;75.00;Bueno
2025-08-10;05:00;9;24.50;11.25;22.50;Bueno;75.00;Bueno
